"time_ms,beat,piezo1,piezo2,piezo3,piezo4"
"8383,0,1"
"8393,0,1"
"8403,0,1"
"8414,0,1"
"8425,0,1"
"8435,0,1"
"8445,0,1"
"8456,0,1"
"8466,0,1"
"8476,0,1"
"8487,0,1"
"8498,0,1"
"8508,0,1"
"8518,0,1"
"8528,0,1"
"8539,0,1"
"8549,0,1"
"8560,0,1"
"8570,0,1"
"8581,0,1"
"8591,0,1"
"8601,0,1"
"8611,0,1"
"8623,0,1"
"8633,0,1"
"8643,0,1"
"8653,0,1"
"8664,0,0"
"8674,0,1"
"8684,0,1"
"8695,0,1"
"8706,0,1"
"8716,0,1"
"8726,0,1"
"8736,0,1"
"8747,0,1"
"8758,0,1"
"8768,0,1"
"8778,0,1"
"8788,0,1"
"8799,0,1"
"8809,0,1"
"8820,0,1"
"8830,0,1"
"8841,0,1"
"8851,0,1"
"8861,1,1"
"8871,1,1"
"8882,1,1"
"8893,1,2"
"8903,1,4"
"8913,1,1"
"8924,1,2"
"8934,1,1"
"8944,1,1"
"8955,1,4"
"8966,1,1"
"8976,1,1"
"8986,1,5"
"8996,0,0"
"9007,0,1"
"9017,0,1"
"9028,0,1"
"9038,0,0"
"9049,0,1"
"9059,0,1"
"9069,0,1"
"9079,0,1"
"9091,0,1"
"9101,0,1"
"9111,0,0"
"9121,0,1"
"9132,0,1"
"9142,0,1"
"9153,0,1"
"9163,0,1"
"9174,0,-1"
"9185,0,1"
"9195,0,1"
"9205,0,1"
"9216,0,1"
"9227,0,1"
"9237,0,1"
"9247,0,0"
"9257,0,1"
"9268,0,1"
"9278,0,1"
"9289,0,1"
"9299,0,1"
"9310,0,1"
"9320,0,1"
"9330,0,1"
"9340,0,1"
"9352,0,1"
"9362,0,1"
"9372,0,1"
"9382,0,1"
"9393,0,1"
"9403,0,1"
"9413,0,1"
"9424,0,1"
"9435,0,1"
"9445,0,1"
"9455,0,1"
"9465,0,1"
"9476,0,1"
"9487,0,1"
"9497,0,1"
"9507,0,1"
"9518,0,1"
"9528,0,1"
"9538,0,1"
"9548,0,1"
"9560,0,1"
"9570,0,1"
"9580,0,1"
"9590,0,1"
"9601,0,1"
"9611,0,1"
"9622,0,1"
"9632,0,1"
"9643,0,1"
"9653,0,1"
"9663,0,1"
"9673,0,1"
"9684,0,1"
"9695,0,1"
"9705,0,1"
"9715,0,1"
"9725,0,1"
"9736,0,1"
"9746,0,1"
"9757,0,1"
